date,id,content,username,likes,retweets,replies
2024-07-04 17:50:21+00:00,1808921301274259900,"For a company that prides itself on thoughtful design, @Apple has made some massively stupid design choices in the past decade.

The AppleTV 4K remote (first gen) is one of the worst. Yes, they fixed it, but it was so bad, it proves there’s something very wrong inside Apple.",eechentx,0,0,0
2024-07-04 17:46:57+00:00,1808920446731235425,"Tell me about it! 😔 Your friend, though, must have been trying really hard and is being let down by not enough market movement around smart home software ecosystem of @Apple and @Google.

I’ve been automating my home for the past 20 years.  Had started with remote controllers connected with a IR blaster hooked up to my Windows XP PC. And every so often I hit the same crossroads that you did and wonder … will this change, can I change it, and will the #API-economics around smart home finally take shape beyond selling hardware trinkets?!",shamasis,0,0,0
2024-07-04 17:46:08+00:00,1808920240866406797,"another day, another tweet … WE WANT THE IPAD APP… we need it!! @whatsapp @apple @meta",div4disciplin4,0,0,0
2024-07-04 17:43:19+00:00,1808919535082156343,@9thousandbytes @ashleevance @Meta @Google @Microsoft @Apple @Adobe @nvidia @AMD *Radeon,lvb,1,0,0
2024-07-04 17:43:01+00:00,1808919458104422534,Hey @elonmusk @Tesla @TeslaMotorsClub anyone know why after an @Apple iphone battery replacement suddenly my phone doesnt open my model 3 or allow me to drive the car even though it says phone key is connected?  Worked fine until iphone battery replacement.,JRueParoah,0,0,1
2024-07-04 17:42:45+00:00,1808919389284032613,Time to introduce an OLYMPIC/OLYMPIC RINGS emoji for all. What say? #Paris2024 #olympics @iocmedia @Apple @Android @SamsungMobile https://t.co/8XUxrERsKs,Joydeep709,3,0,0
2024-07-04 17:38:27+00:00,1808918309607477614,"Asked @Apple #Siri to “turn off the air conditioner.” Only one of three was on, but it still asked, “Which one?” and listed all three. We often expect too much from #AI. This behaviour doesn’t need complex GPTs — not even AI. A PM and engineers could’ve just coded the implicit actions. What gets in the way is more around prioritisation, management, GTM, investment, messaging cohesion, release thematics and people dynamics than engineering. Now that’s where AI could truly make a difference by reducing the alignment overhead and the ancillary cost perception.

Engineering is already getting easier (with what I see from our work at #Postman) we need to make large scale #collaboration easier.",shamasis,1,0,0
2024-07-04 17:38:25+00:00,1808918298253525399,@apple htg you will suffer,suzyphobic,0,0,0
2024-07-04 17:37:51+00:00,1808918158264467797,"Not ok @Apple ! 
#RussiaIsATerroristState",vitalij17186871,0,0,0
2024-07-04 07:29:35+00:00,1808765082219708680,"Очень плохая новость: по требованию РКН компания Apple удалила из российского AppStore ряд клиентов VPN. Уточняю какие именно. 
Обращаюсь к пользователям из РФ — протестируйте клиенты VPN в аппсторе и сообщите мне лс, если они пропали. Пока знаю о двух. Названия сообщу позже. RT",wanderer_from,185,41,16
2024-07-04 17:37:46+00:00,1808918135397101712,"Apple, My Os Isn't Even downloding and jvebeen waiting for an hour .and it hasn't even reached one percent..I haven't used this iPad since 2022...
-VG SOORYAJITH 
@Apple https://t.co/nJaRNdSXMQ",vgspatriot,0,0,0
2024-07-04 17:36:28+00:00,1808917810195878093,@Apple your a fucking ioke no patriotic 4th of July watch faces but you sure as shit have pride watch faces. PATHETIC! #notpatriotic #fuckapple,HeartlandPatr3,0,0,0
2024-07-04 17:33:14+00:00,1808916995322302885,tuh harusnya ga langusng ilang PWA hey @Apple,tanganjojo,0,0,0
